condition_info,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition,age [in months]
163.cha.conv.txt-select.txt-rand.txt,2,0.42640143271122083,0.0,0.42640143271122083,0.0,0.18257418583505536,0.0,0.18257418583505536,0.0,,MOT>CHI,10,3,TYP,21
163.cha.conv.txt-select.txt-rand.txt,3,0.18257418583505533,0.0,0.5477225575051661,0.0,0.16012815380508716,0.0,0.16012815380508716,0.0,,CHI>MOT,3,11,TYP,21
163.cha.conv.txt-select.txt-rand.txt,4,0.35355339059327373,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.28212102890220403,MOT>CHI,11,3,TYP,21
163.cha.conv.txt-select.txt-rand.txt,5,0.2626128657194451,0.0,0.3810003810005715,0.0,0.11547005383792514,0.0,0.11547005383792514,0.0,0.6063980053414205,CHI>MOT,3,15,TYP,21
163.cha.conv.txt-select.txt-rand.txt,6,0.25751310131230243,0.0,0.5415303610738823,0.07412493166611013,0.03984095364447979,0.0,0.03984095364447979,0.0,0.5301641641073751,MOT>CHI,15,12,TYP,21
163.cha.conv.txt-select.txt-rand.txt,7,0.692820323027551,0.42640143271122094,0.692820323027551,0.42640143271122094,0.15936381457791915,0.12964074471043288,0.15936381457791915,0.12964074471043288,0.48656238616993264,CHI>MOT,12,15,TYP,21
163.cha.conv.txt-select.txt-rand.txt,8,0.8834522085987723,0.15811388300841897,0.8626621856275073,0.15811388300841897,0.0,0.0,0.0,0.0,0.29746393802557236,MOT>CHI,15,3,TYP,21
163.cha.conv.txt-select.txt-rand.txt,9,0.4999999999999999,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.1625152520720301,CHI>MOT,3,2,TYP,21
163.cha.conv.txt-select.txt-rand.txt,10,0.7071067811865475,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,,MOT>CHI,2,1,TYP,21
163.cha.conv.txt-select.txt-rand.txt,11,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,CHI>MOT,1,4,TYP,21
163.cha.conv.txt-select.txt-rand.txt,12,0.0,0.0,0.0,0.0,0.8660254037844387,0.8164965809277259,0.8660254037844387,0.8164965809277259,,MOT>CHI,4,3,TYP,21
